laser power,scan speed,hatch spacing,layer thickness,density
70,287,100,40,94.6
90,1500,56,25,95
90,600,84,25,99.1
90,300,84,25,99.25
90,300,84,25,99
95,350,140,30,98
100,90,100,60,96
100,180,100,60,65
105,800,0.975,30,98.44
120,492,100,40,99.63
150,1250,80,30,96.57
150,714,140,30,97.46
150,750,120,30,98.72
150,1133,80,30,98.59
150,781,80,30,99.86
150,446,140,30,99.84
175,750,120,30,99.73
190,1300,97.5,30,99.29
190,800,97.5,50,99.12
195,1100,100,40,99.75
195,900,100,40,99.58
195,800,100,40,100
195,600,100,40,99.83
195,2166,90,20,93.24
195,1083,180,20,92.87
195,541,90,20,98
195,1083,45,20,97.36
200,1667,80,30,97.38
200,952,140,30,97.35
200,1198,140,30,99.24
200,1042,80,30,99.7
200,565,140,30,99.27
250,1200,110,50,75.24
300,700,80,30,98.5
300,800,80,30,98.5
300,1000,80,30,98.5
300,1200,80,30,94.5
350,650,110,50,99.6
